datetime,openPrice,highPrice,lowPrice,closePrice,volume,turnover,symbol,openInterest
2024-05-24,3784.15,3832.05,3627.05,3728.6,268476729.0,72224.50100532,ETHUSD,338357319.0
2024-05-23,3740.5,3951.15,3507.05,3784.15,998759848.0,263611.93930956,ETHUSD,349971866.0
2024-05-22,3793.0,3815.35,3654.85,3740.5,287634099.0,76947.5029009,ETHUSD,348212671.0
2024-05-21,3665.3,3844.85,3627.7,3793.0,375445948.0,100420.64272375,ETHUSD,342281637.0
2024-05-20,3069.1,3699.9,3046.05,3665.3,439138274.0,130692.23832986,ETHUSD,315706080.0
2024-05-19,3123.45,3137.45,3052.35,3069.1,79367645.0,25738.06952143,ETHUSD,321902990.0
2024-05-18,3093.5,3148.0,3083.8,3123.45,61450547.0,19728.97155978,ETHUSD,322799247.0
2024-05-17,2943.85,3121.5,2931.85,3093.5,147608216.0,48554.96498002,ETHUSD,308794061.0
2024-05-16,3032.05,3041.15,2921.0,2943.85,104289810.0,35008.32522749,ETHUSD,313383689.0
2024-05-15,2879.65,3041.3,2861.05,3032.05,151946735.0,51412.01501618,ETHUSD,298640692.0
2024-05-14,2948.85,2958.95,2858.05,2879.65,102459070.0,35281.86346033,ETHUSD,299181008.0
2024-05-13,2926.55,2996.3,2862.4,2948.85,119126179.0,40579.81417704,ETHUSD,301661394.0
2024-05-12,2910.25,2953.6,2898.55,2926.55,37159519.0,12706.40745707,ETHUSD,302510246.0
2024-05-11,2908.3,2943.85,2884.0,2910.25,40765824.0,13985.83448968,ETHUSD,305798834.0
2024-05-10,3034.8,3053.0,2875.0,2908.3,148816846.0,50468.68076888,ETHUSD,316977107.0
2024-05-09,2973.2,3059.0,2947.8,3034.8,79093127.0,26395.88551087,ETHUSD,313628494.0
2024-05-08,3003.55,3037.2,2934.35,2973.2,103029990.0,34467.37364421,ETHUSD,307689464.0
2024-05-07,3061.4,3129.95,2997.95,3003.55,135972757.0,44387.47671621,ETHUSD,301932167.0
2024-05-06,3135.75,3221.7,3044.6,3061.4,154053432.0,49329.13321362,ETHUSD,299692504.0
2024-05-05,3115.9,3172.1,3071.4,3135.75,88149609.0,28213.69446784,ETHUSD,297946650.0
2024-05-04,3102.2,3168.55,3091.6,3115.9,57168677.0,18296.80699694,ETHUSD,303503923.0
2024-05-03,2983.6,3127.6,2957.0,3102.2,115820911.0,38153.75220133,ETHUSD,304541647.0
2024-05-02,2967.5,3016.1,2887.0,2983.6,144023231.0,48605.90026611,ETHUSD,303454043.0
2024-05-01,3011.0,3020.55,2810.05,2967.5,315714234.0,108430.06907668,ETHUSD,296722860.0
2024-04-30,3214.4,3249.35,2915.8,3011.0,247283391.0,81402.24065293,ETHUSD,298045184.0
2024-04-29,3261.85,3285.55,3112.5,3214.4,167963424.0,52732.54479766,ETHUSD,306332931.0
2024-04-28,3253.2,3361.8,3248.15,3261.85,108582676.0,32866.60780751,ETHUSD,310179803.0
2024-04-27,3128.2,3281.6,3064.0,3253.2,117483214.0,37195.88283495,ETHUSD,308350067.0
2024-04-26,3154.2,3167.1,3098.1,3128.2,104970629.0,33521.51710336,ETHUSD,316834232.0
2024-04-25,3138.1,3191.0,3069.55,3154.2,138493782.0,44236.02755505,ETHUSD,313352075.0
